recommendationid,reviewerid,review_count,game_count,playtime_forever,playtime_at_review,playtime_last_two_week
86008109,76561197968194781,1,0,8087,8087,0
85954475,76561198821719436,11,0,112757,20515,0
85922099,76561198275892818,50,0,1047,1047,0
85915975,76561199123485878,8,0,35,33,0
85904494,76561197970620538,18,0,5921,3079,0
85849341,76561198117042223,3,0,2019,1207,0
85849246,76561197985902916,3,0,17432,8895,0
85664655,76561198057454621,2,0,3224,3132,0
85649070,76561198023816784,22,0,6626,1357,0
85478965,76561198183013194,6,189,42315,36569,476
85466481,76561198041137397,41,96,504,504,0
85465913,76561198879035201,5,0,278,278,0
85368283,76561198338666709,3,6,2311,998,0
85223253,76561199092132530,8,0,536,536,0
85214014,76561198179502733,75,158,2613,1546,0
85212045,76561198070799869,49,0,1367,1252,0
85164499,76561198071768006,1,0,25166,8883,0
85160441,76561198168373162,3,0,9797,3565,0
85087272,76561199047575423,36,0,21,21,0
85044425,76561198025349669,39,260,68,68,0
85015547,76561198070743606,10,0,53149,53149,0
84932976,76561198406771078,3,0,10495,10494,0
84927155,76561199013355127,11,0,263,248,0
84877907,76561198129362441,7,0,2868,2627,0
84826709,76561198163915061,288,379,7,7,0
84793325,76561198357109112,19,0,10423,10346,0
84768686,76561198137127025,77,586,376,280,0
84762711,76561198259465909,35,194,2269,2122,0
84726946,76561198174834205,15,106,2250,461,0
84709781,76561198292792864,5,0,97,83,0
84693837,76561198180778754,5,0,33674,33211,0
84650439,76561198089469030,6,0,553,527,0
84640040,76561198333527584,7,0,59809,334,0
84584637,76561198405093575,21,0,239,234,0
84576870,76561198419182606,17,73,2002,2002,0
84508977,76561199066593137,3,0,13607,13557,0
84489908,76561198397520082,2,0,125232,105521,820
84457125,76561198340618024,1,0,2736,1933,0
84425326,76561198130401838,4,166,110,110,0
84386655,76561198325673439,110,0,2442,2441,0
84046971,76561199050062524,2,16,6101,2509,0
84040636,76561198884086626,21,27,106937,73383,0
83996543,76561198806479422,9,64,1661,1661,0
83919992,76561198880841500,16,46,6677,6541,0
83733986,76561198096795782,156,553,1087,1087,0
83704311,76561199090548530,53,57,39,39,0
83620393,76561199048965501,15,17,39076,12522,531
83549474,76561198859899311,5,0,177352,53038,1502
83474225,76561197982987873,41,394,271,271,0
83342460,76561199119828720,40,0,3792,975,0
83184153,76561198959601699,9,125,1422,642,0
83157234,76561198010525155,33,0,3236,3236,0
83148679,76561198084139586,5,181,26526,26526,0
83112164,76561198067282138,278,0,838,838,0
82978447,76561198286162879,2,38,11392,11160,0
82892229,76561198051255089,24,243,5692,5692,0
82814984,76561198247480060,73,280,468,468,0
82791999,76561198342333394,19,17,100953,51911,0
82661448,76561198000542992,5,0,884,884,0
82579679,76561198355406087,6,140,33766,33565,0
82541874,76561198000116083,86,150,796,796,0
82526071,76561198085497274,534,0,56,56,0
82500361,76561197991437773,16,0,91,91,0
82462455,76561197984787755,27,178,36709,33155,0
82438886,76561198045554613,3,0,11,11,0
82405604,76561199039552353,26,79,238,238,0
82362323,76561198086942887,3,0,6370,3353,0
82269650,76561198083547249,12,166,4974,4504,0
82116330,76561198146818767,29,0,651,651,0
82050703,76561198072284219,7,198,124450,98839,0
81781484,76561198421745018,72,0,106,106,0
81778456,76561199016090712,4,20,1640,705,0
81764842,76561198064377607,3,0,105833,94739,0
81654049,76561199032718907,3,4,49,49,0
81607636,76561198353354287,6,58,287,259,0
81570656,76561198209903493,22,151,404,404,0
81175221,76561198066252957,2,0,535,412,0
81013926,76561197971736568,70,0,2572,1797,0
80783503,76561198058564202,5,0,11226,11218,0
80764960,76561198355482110,7,0,12991,6271,0
80746054,76561198194336635,7,307,880,880,0
80630869,76561197976908858,5,255,2832,2662,0
80506491,76561198875999332,24,0,3759,2225,0
80374960,76561197977281602,31,1940,38,38,0
80215953,76561197968989838,8,275,63,63,0
79764827,76561199092947414,9,31,2042,823,0
79750780,76561198947955887,102,141,51,51,0
79698076,76561198845956953,14,28,340,340,0
79554218,76561198334674963,13,0,1389,1280,0
79536654,76561197962019321,5,0,101,101,0
79487172,76561198000831348,3,153,211553,124046,576
79364120,76561197968497699,7,965,1473,690,0
79351234,76561198839042584,2,0,9,9,0
79187203,76561198083334450,5,0,8907,8707,0
79078693,76561198055510033,218,286,1282,1282,0
79053611,76561199087240322,6,33,598,598,0
79019895,76561198832694457,8,0,4307,2201,0
78939155,76561197961184216,5,534,1709,1463,0
78864214,76561198126304877,6,0,5255,4204,0
78863688,76561198060033696,27,306,12257,12087,0
78797420,76561198119624047,21,236,4730,4730,0
78788242,76561199067619139,2,0,3197,3197,0
78737068,76561197971894939,22,0,2411,2411,0
78691675,76561198043367738,8,27,1251,783,0
78676315,76561198798326829,32,15,49687,37041,3849
78668863,76561198005073789,7,0,307785,87392,0
78656740,76561197993176353,1,0,242079,232662,0
78633454,76561198331727245,8,124,5839,5216,0
78620331,76561198073156109,50,0,22530,19029,0
78613893,76561198014471492,3,0,558,558,0
78589205,76561198000520915,114,508,1289,1096,0
78524360,76561198393948712,1,0,3805,3534,0
78505274,76561198259388903,63,65,106,102,0
78495130,76561198344664794,3,0,35381,32436,0
78493467,76561197968491365,34,0,140988,329,0
78423998,76561198998564458,3,9,6860,6626,0
78385534,76561198439770197,6,0,12,12,0
78372255,76561198140357393,41,103,528,528,0
78242011,76561198369684488,35,0,82,82,0
78237067,76561198011415480,8,0,19553,709,0
78223615,76561199067645385,1,0,7943,1773,0
78196657,76561198120385323,3,0,25561,6195,0
78176432,76561198200288467,14,0,113745,80122,0
78130915,76561198124066700,1,0,5161,5161,0
78110915,76561198315000384,13,0,92861,58407,0
78107495,76561198018518676,17,0,183240,116422,0
78094126,76561197964945124,55,0,7516,7489,0
78086139,76561198432750407,7,0,279,246,0
78077259,76561198003101423,3,0,38,38,0
78042276,76561198152475751,49,456,335,71,0
78021436,76561199049555514,16,39,602,267,0
78001303,76561197998968957,67,275,76,76,0
77984006,76561198403723251,10,0,1526,455,0
77969309,76561198007583566,24,0,7636,7590,0
77924473,76561198200215262,10,0,1030,1030,0
77912646,76561198259074608,9,0,37,37,0
77902212,76561198059746409,11,0,3793,3793,0
77884059,76561198076205586,107,0,945,945,0
77800589,76561197997689670,18,0,68020,28690,0
77739161,76561198314459597,10,0,714,714,0
77735615,76561197961062533,32,549,3616,3592,0
77722211,76561198277120098,92,185,5051,588,196
77685846,76561198025554614,3,390,1257,1130,0
77639336,76561198314573877,26,0,12058,7113,0
77638363,76561198088585688,4,0,4640,4640,0
77626108,76561198090154340,3,0,124466,124050,0
77588020,76561198021604169,13,411,950,925,0
77560881,76561197972428552,41,451,13946,6174,0
77555787,76561198115310444,2,0,51922,37281,0
77554762,76561198003596208,8,28,80191,27620,0
77550775,76561198930713394,16,135,727,727,0
77541036,76561198994907686,2,32,34893,20638,0
77540016,76561199062697054,1,0,5774,5769,0
77524452,76561198050510849,40,0,5283,5275,0
77427732,76561198038624736,12,0,3634,3602,0
77427217,76561198301681794,10,0,1072,692,0
77280271,76561197991593430,16,223,2046,1075,0
77241735,76561198020430348,134,0,64,64,0
77206441,76561198043057558,54,0,408,408,0
77199376,76561198058540585,6,0,118111,37922,3978
77195265,76561198048196452,42,0,805,711,0
77193850,76561198086692418,1,0,4967,4967,0
77184967,76561198061641399,6,0,435,435,0
77150924,76561198323151519,2,0,259,259,0
77111691,76561198994623961,15,0,11325,6761,0
77089407,76561199025915871,2,0,437999,146319,3367
77034716,76561197985171381,53,293,17,17,0
76979102,76561198880375361,10,20,13313,4168,0
76976414,76561198360800154,1,35,561,561,0
76959366,76561198859951939,1,0,657,653,0
76946149,76561198309763491,15,0,693,693,0
76942183,76561198223107344,1,0,2956,24,0
76921726,76561199091565795,7,0,21,18,0
76902909,76561198345243586,2,77,379654,63516,5842
76878760,76561198028055684,23,0,184,184,0
76848703,76561198212616571,18,255,558,43,0
76836393,76561198800209086,49,49,4482,829,0
76777690,76561198046228257,33,0,230,230,0
76776101,76561198423609821,17,52,2414,1560,0
76765557,76561198164329134,4,0,3443,2446,0
76734191,76561198176778009,20,0,901,881,0
76697965,76561198117281681,83,0,8019,5895,0
76697298,76561199087900381,3,0,2629,1730,0
76618704,76561198062695041,31,0,210,210,0
76618371,76561198033002689,33,0,5903,5903,0
76585099,76561198004432686,17,0,4272,4272,0
76564250,76561197994641119,3,0,2504,1304,0
76499979,76561198841317539,4,0,3375,3375,0
76483419,76561198048058147,4,0,205709,176316,0
76478064,76561198993979830,17,0,324,288,0
76466099,76561198813564434,1,0,3367,435,0
76459760,76561198199078946,16,0,9428,9428,0
76445290,76561198081733855,21,100,19419,16074,0
76406869,76561198012037278,7,0,14616,14616,0
76405114,76561198217391991,7,81,5243,3671,0
