compound,neg,neu,pos,recommendationid,length,readability_score,reviewerid,appid,review_count,game_count,playtime_forever,playtime_at_review,playtime_last_two_week,voted_up,votes_up,votes_funny,comment_count,steam_purchase,received_for_free,written_during_early_access
0.9176,0.028,0.647,0.325,1681315,2.287801729930226,49.19282258064519,76561197996368591,227000,28,214,1055,755,0,1,0,0,0,1,0,0
0.0,0.0,1.0,0.0,1696783,1.8129133566428552,100.0,76561197996612351,227000,37,0,407,407,0,1,0,0,0,1,0,0
0.9716,0.027,0.711,0.263,1710077,2.743509764728429,61.827352941176486,76561197996794965,227000,7,0,580,575,0,1,1,0,0,1,0,0
0.9755,0.027,0.777,0.196,1713985,2.883661435153617,67.5966865671642,76561197996848142,227000,51,1026,774,774,0,1,3,0,0,1,0,0
0.8315,0.057,0.85,0.093,1727062,3.2365372614886936,51.94742424242426,76561197997036304,227000,455,3184,748,675,0,1,1,0,0,1,0,0
0.0,0.0,1.0,0.0,1740218,1.230448921378274,100.0,76561197997244503,227000,13,337,793,793,0,1,1,0,0,1,0,0
-0.6258,0.246,0.537,0.217,1817168,2.2121876044039577,58.3991666666667,76561197998382465,230190,38,313,4738,4681,0,1,0,0,0,0,0,0
0.9062,0.0,0.719,0.281,1926591,2.387389826338729,50.38096153846158,76561197999832775,227000,92,0,921,769,0,1,1,0,0,0,0,0
-0.7891,0.128,0.773,0.098,1954278,2.896526217489555,59.30544117647061,76561198000207862,227000,38,312,403,403,0,1,0,0,0,1,0,0
0.9757,0.087,0.776,0.138,1958570,3.3571722577230334,54.90718745483456,76561198000264284,227000,17,0,850,354,0,1,4,0,3,1,0,0
0.984,0.0,0.594,0.406,1962203,2.469822015978163,61.85058823529414,76561198000318945,227000,188,0,504,433,0,1,0,0,0,1,0,0
0.9259,0.045,0.738,0.218,1985911,2.4742162640762557,75.93939393939395,76561198000614891,227000,5,0,752,602,0,1,0,0,0,1,0,0
