recommendationid,brevity
51210652,30
55021080,20
10001854,14
44608943,29
49467650,38
49539292,217
26635713,8
73058660,17
49797347,171
49291439,15
8468217,14
49108762,250
104744732,3
142163059,30
43418655,114
18115849,33
50221762,40
29450397,36
50714752,82
50551571,52
47161764,24
42581992,155
55128784,76
77444133,2
49362702,204
43868657,58
31067454,2
47988898,63
46834147,220
13438039,38
49363439,36
56521807,19
22084899,31
21014678,1
50141572,362
49272460,20
49381263,26
50039213,38
87803707,16
51104567,87
62119703,15
48936295,4
29934502,17
47841691,32
100063901,3
10360877,40
49434291,6
49300387,28
71479319,36
49387624,34
151408559,8
49344441,18
49669445,14
91604084,114
27950035,91
15141401,48
60935027,1
49637251,100
149221428,16
50059605,270
49285034,93
26318469,44
50088542,21
31672960,19
49364851,21
39805877,66
51467419,64
116586056,36
10612120,55
71348486,15
24303666,122
50064265,32
80275770,15
47170339,81
7855075,7
50639121,33
18314485,41
51253277,23
49361661,19
47581681,31
24790589,5
32825037,102
49525751,60
50068174,282
48906140,93
50037245,35
16372371,5
69331207,2
24547043,52
43658921,257
138174592,12
49385390,81
49739042,33
9682872,6
24628443,7
43902785,2
52106961,10
25015489,7
10052745,2
45753216,35
48872198,105
88464036,37
29725443,1
48757657,41
51256695,148
72801411,3
66536492,22
50550012,16
49282872,9
50464620,3
49398131,56
55111802,18
49316678,42
50122287,95
43644041,44
86229053,10
13803634,65
101851138,3
49673054,165
49652168,114
48991440,65
49350592,39
55326722,1
49290431,15
49602784,99
49338820,26
40845216,16
47022825,56
135897802,2
9810397,15
52089439,3
49317828,109
49302963,124
10960208,31
12403323,18
22386233,31
48173987,49
25460209,71
22955453,20
61300316,1
11245056,1
12441416,31
14679455,59
50035388,334
110204950,62
8468596,3
9760681,3
107685316,20
100966480,49
49323211,48
49300642,142
9191413,125
106939571,1
49316515,52
50258136,26
47366012,26
81117332,20
49529162,172
49285033,17
49344070,61
43822758,31
49362055,54
50965707,483
84929558,7
10305779,10
81591913,9
58412320,16
48109983,15
55949351,5
27846907,2
55232667,25
43916181,17
50055368,164
148904037,163
47505437,82
50302615,244
58661841,16
8579549,67
50361562,1
49351936,21
43648560,20
49429227,2
